user,url,likes,comments,followers,likes/followers
https://www.instagram.com/twilight_doll78,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434161_142638239673871_5435280675001335808_n.jpg,0,0,8,0.000
https://www.instagram.com/masa0087,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436167_116224432396792_5872200121701105664_n.jpg,59,1,1047,0.056
https://www.instagram.com/oono531,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436093_492138257809362_3622100440755208192_n.jpg,2,0,103,0.019
https://www.instagram.com/mari_matsuya,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435449_286832685056707_6867168878238105600_n.jpg,7,2,120,0.058
https://www.instagram.com/gogohimawari,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480063_221504705048158_4104255840226115584_n.jpg,4,0,63,0.063
https://www.instagram.com/ma.sa.na,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480397_883509121826651_3552501625299927040_n.jpg,19,0,696,0.027
https://www.instagram.com/blue_m1007,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433366_173217589903552_7348990941002203136_n.jpg,12,0,85,0.141
https://www.instagram.com/__79_91,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21569288_384794478621698_9040055934944018432_n.jpg,16,0,53,0.302
https://www.instagram.com/karitizu,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435460_1777884625842868_8107190515721568256_n.jpg,6,0,5,1.200
https://www.instagram.com/rxrx21527,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21373484_1323676167761882_5381964394097803264_n.jpg,7,0,62,0.113
https://www.instagram.com/okaume,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480359_102319690512094_124222243885547520_n.jpg,18,0,47,0.383
https://www.instagram.com/_cantik_manis_,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434054_144885262777161_4943248955283603456_n.jpg,26,0,158,0.165
https://www.instagram.com/honzitu.no.osusume_official,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435864_1461878653909186_1161901731466969088_n.jpg,4,0,48,0.083
https://www.instagram.com/okuzenfudosan_kasugabaru,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436184_1468869306493838_5616297096802992128_n.jpg,12,0,17,0.706
https://www.instagram.com/koi.nazu.tuma,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436192_670768123113841_3726741078334767104_n.jpg,3,0,19,0.158
https://www.instagram.com/renapyooooon,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/20582518_510530355951115_2596956837429379072_n.jpg,9,0,76,0.118
https://www.instagram.com/toyoko.52,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435441_149647668965156_3302058942649073664_n.jpg,7,0,47,0.149
https://www.instagram.com/unagi_inu_da_wan,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21569199_273948719771598_1244539762690228224_n.jpg,13,0,111,0.117
https://www.instagram.com/dish_omurice,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479686_1489265567817811_5109659666485346304_n.jpg,40,0,1224,0.033
https://www.instagram.com/ssska_kunsss,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435439_117403332297298_2435881557941026816_n.jpg,41,0,918,0.045
https://www.instagram.com/m3k.3124,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434079_1849318301752909_3502151968502054912_n.jpg,18,0,34,0.529
https://www.instagram.com/sukinamonoatsume,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479704_1785872571426825_9215752764871671808_n.jpg,2,0,2,1.000
https://www.instagram.com/sameold_teh,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e15/21480521_1583895485003023_165120026284654592_n.jpg,57,1,629,0.091
https://www.instagram.com/chihi9372,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434183_704110753116764_7710375429227413504_n.jpg,5,0,15,0.333
